hex_signature_hash,text_signature,col_names,tablename,foreignkeys,added_columns
0x,"transfer()","",transferEth,"[{'column': 'from_address','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'to_address','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address', 'to_address', 'value']}"
0x38ed1739,"swapExactTokensForTokens(uint256,uint256,address[],address,uint256)","amountIn,amountOutMin,path,to,deadline",swapExactTokensForTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x472b43f3,"swapExactTokensForTokens(uint256,uint256,address[],address)","amountOut,amountInMax,path,to",swapExactTokensForTokens_ndl,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x8803dbee,"swapTokensForExactTokens(uint256,uint256,address[],address,uint256)","amountOut,amountInMax,path,to,deadline",swapTokensForExactTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x7ff36ab5,"swapExactETHForTokens(uint256,address[],address,uint256)","amountOutMin,path,to,deadline",swapExactETHForTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x4a25d94a,"swapTokensForExactETH(uint256,uint256,address[],address,uint256)","amountOut,amountInMax,path,to,deadline",swapTokensForExactETH,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x18cbafe5,"swapExactTokensForETH(uint256,uint256,address[],address,uint256)","amountIn,amountOutMin,path,to,deadline",swapExactTokensForETH,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0xfb3bdb41,"swapETHForExactTokens(uint256,address[],address,uint256)","amountOut,path,to,deadline",swapETHForExactTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256,uint256,address[],address,uint256)","amountIn,amountOutMin,path,to,deadline",swapExactTokensForTokensSupportingFeeOnTransferTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256,address[],address,uint256)","amountOutMin,path,to,deadline",swapExactETHForTokensSupportingFeeOnTransferTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x791ac947,"swapExactTokensForETHSupportingFeeOnTransferTokens(uint256,uint256,address[],address,uint256)","amountIn,amountOutMin,path,to,deadline",swapExactTokensForETHSupportingFeeOnTransferTokens,"[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['from_address']}"
0x5ae401dc,"multicall(uint256,bytes[])","deadline,data",multicall,"","{'transactions':['from_address']}"
0x3593564c,"execute(bytes,bytes[],uint256)","commands,input,deadline",execute,"","{'transactions':['from_address']}"